"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag","model"
"1",0.022,1,1,0,0,0.259426847662142,0.740573152337858,NA,NA,0.5,0.740573152337858,0.580191050779286,1,"allRun"
"2",0.023,1,0.843177189409369,0.156822810590631,0,0.293515358361775,0.706484641638225,1,0,0.421588594704684,0.353242320819113,0.387415457761898,0.843177189409369,"allRun"
"3",0.024,0.994186046511628,0.720977596741344,0.279022403258656,0.00581395348837209,0.325714285714286,0.674285714285714,0.992753623188406,0.0072463768115942,0.363395775114858,0.340766045548654,0.352080910331756,0.715163643252972,"allRun"
"4",0.025,0.994186046511628,0.629327902240326,0.370672097759674,0.00581395348837209,0.35625,0.64375,0.994535519125683,0.00546448087431694,0.317570927864349,0.324607240437158,0.321089084150754,0.623513948751954,"allRun"
"5",0.026,0.988372093023256,0.59877800407332,0.40122199592668,0.0116279069767442,0.366379310344828,0.633620689655172,0.989949748743719,0.0100502512562814,0.305202955525032,0.321835470455727,0.313519212990379,0.587150097096576,"allRun"
"6",0.027,0.988372093023256,0.558044806517312,0.441955193482688,0.0116279069767442,0.382882882882883,0.617117117117117,0.990867579908676,0.0091324200913242,0.284836356747028,0.313124768604221,0.298980562675624,0.546416899540567,"allRun"
"7",0.028,0.988372093023256,0.515274949083503,0.484725050916497,0.0116279069767442,0.401891252955083,0.598108747044917,0.991666666666667,0.00833333333333333,0.263451428030124,0.303221040189125,0.283336234109624,0.503647042106759,"allRun"
"8",0.029,0.982558139534884,0.488798370672098,0.511201629327902,0.0174418604651163,0.41320293398533,0.58679706601467,0.988188976377953,0.0118110236220472,0.253120115568607,0.299304044818359,0.276212080193483,0.471356510206981,"allRun"
"9",0.03,0.982558139534884,0.441955193482688,0.558044806517312,0.0174418604651163,0.437823834196891,0.562176165803109,0.989169675090253,0.0108303249097473,0.229698526973902,0.286503245356428,0.258100886165165,0.424513333017572,"allRun"
"10",0.031,0.982558139534884,0.405295315682281,0.594704684317719,0.0174418604651163,0.459239130434783,0.540760869565217,0.989830508474576,0.0101694915254237,0.211368588073699,0.275465180545321,0.24341688430951,0.387853455217165,"allRun"
"11",0.032,0.982558139534884,0.378818737270876,0.621181262729124,0.0174418604651163,0.476056338028169,0.523943661971831,0.99025974025974,0.00974025974025974,0.198130298867996,0.266841960856045,0.232486129862021,0.361376876805759,"allRun"
"12",0.033,0.982558139534884,0.354378818737271,0.645621181262729,0.0174418604651163,0.492711370262391,0.507288629737609,0.990625,0.009375,0.185910339601194,0.258331814868805,0.222121077234999,0.336936958272155,"allRun"
"13",0.034,0.982558139534884,0.338085539714868,0.661914460285132,0.0174418604651163,0.504477611940298,0.495522388059702,0.990853658536585,0.00914634146341463,0.177763700089992,0.252334364761558,0.215049032425775,0.320643679249751,"allRun"
"14",0.035,0.982558139534884,0.323828920570265,0.676171079429735,0.0174418604651163,0.515243902439024,0.484756097560976,0.991044776119403,0.00895522388059702,0.17063539051769,0.246855660720786,0.208745525619238,0.306387060105148,"allRun"
"15",0.036,0.982558139534884,0.305498981670061,0.694501018329939,0.0174418604651163,0.529780564263323,0.470219435736677,0.991279069767442,0.00872093023255814,0.161470421067589,0.239470182984618,0.200470302026103,0.288057121204945,"allRun"
"16",0.037,0.982558139534884,0.295315682281059,0.704684317718941,0.0174418604651163,0.538216560509554,0.461783439490446,0.991404011461318,0.00859598853868195,0.156378771373088,0.235189714014564,0.195784242693826,0.277873821815943,"allRun"
"17",0.038,0.982558139534884,0.287169042769857,0.712830957230143,0.0174418604651163,0.545161290322581,0.454838709677419,0.991501416430595,0.0084985835694051,0.152305451617487,0.231668646623412,0.19198704912045,0.269727182304741,"allRun"
"18",0.039,0.982558139534884,0.281059063136456,0.718940936863544,0.0174418604651163,0.550488599348534,0.449511400651466,0.991573033707865,0.00842696629213483,0.149250461800786,0.2289691834718,0.189109822636293,0.26361720267134,"allRun"
